 Africa;Pepel;	8.56666666666666; 	-13.05; 
 'Singapore'  is not a country in the system;Singapore;	1.26666666666666; 	103.8333333; 
 Europe;Izola;	45.5166666666666; 	13.68333333; 
 Europe;Koper;	45.5166666666666; 	13.73333333; 
 Europe;Piran;	45.5166666666666; 	13.6; 
 'Solomon Islands'  is not a country in the system;Honiara;	-9.41666666666666; 	159.95; 
 'Solomon Islands'  is not a country in the system;Noro, New Georgia;	-8.21666666666666; 	157.2; 
 'Solomon Islands'  is not a country in the system;Viru Harbour;	-8.5; 	157.7166667; 
 'Solomon Islands'  is not a country in the system;Yandina, Pavuvu Island;	-9.06666666666666; 	159.2333333; 
 Africa;Berbera;	10.4333333333333; 	45.01666667; 
 Africa;Kismayu;	-0.383333333333333; 	42.55; 
 Africa;Merca;	1.71666666666666; 	44.76666667; 
